contest,handle,finding,risk,score,pie,split,slice,award,awardCoin,awardUSD
3,gpersoon,H-09,3,,10,1,10,2616.088947,USDC,2616.09
3,gpersoon,L-03,1,,1,1,1,261.6088947,USDC,261.61
3,gpersoon,L-04,1,,1,1,1,261.6088947,USDC,261.61
3,gpersoon,L-05,1,,1,1,1,261.6088947,USDC,261.61
3,gpersoon,L-06,1,,1,1,1,261.6088947,USDC,261.61
3,gpersoon,M-03,2,,3,1,3,784.8266841,USDC,784.83
3,gpersoon,M-04,2,,3,1,3,784.8266841,USDC,784.83
3,gpersoon,M-05,2,,3,1,3,784.8266841,USDC,784.83
3,gpersoon,N-03,0,,1,1,1,0,USDC,0
3,gpersoon,N-04,0,,0.9,2,0.45,0,USDC,0
3,gpersoon,N-05,0,,1,1,1,0,USDC,0
3,gpersoon,N-06,0,,1,1,1,0,USDC,0
3,gpersoon,N-07,0,,1,1,1,0,USDC,0
3,gpersoon,N-08,0,,1,1,1,0,USDC,0
3,s1m0,H-11,3,,10,1,10,2616.088947,USDC,2616.09
